,noun_phrase,entity,entity_type
51,candidates,Washington state Governor Jay Inslee,PERSON
52,he,a candidate absent President Trump,PERSON
53,Biden’s gaffes,James Eastland,PERSON
54,even graver pratfalls,Biden,PERSON
55,He,Supreme Court Justice Brett Kavanaugh,PERSON
56,he,ABC’s George Stephanopoulos,PERSON
57,hits,Mark Mellman,PERSON
58,hits,Mark Mellman,PERSON
59,that,Dean,PERSON
60,Mary Kay Henry,Vox’s Alexia Fernandez Campbell,PERSON
61,le Premier ministre,Menachem,PERSON
62,deux des trois favoris auraient,cours de leur mandat,PERSON
63,Jimmy Carter,son favori parmi la vingtaine de candidats,PERSON
64,voters,Ms. Harris,PERSON
65,we,Keith Olbermann,PERSON
66,Peggy Noonan,Chris Padilla,PERSON
67,John Catsimatidis,Houda Nonoo,PERSON
68,Donald Trump,Benjamin Netanhayu,PERSON
69,Donald Trump,Steve King,PERSON
70,House Democrats,former Trump campaign chief Corey Lewandowski,PERSON
71,Ghislaine Maxwell,14-years-younger millionaire CEO Scott Borgerson,PERSON
72,it,Jones,PERSON
73,he,New Hampshire,GPE
74,Donald Trump,Benjamin Netanhayu,PERSON
75,Donald Trump,Steve King,PERSON
76,House Democrats,former Trump campaign chief Corey Lewandowski,PERSON
77,Ghislaine Maxwell,14-years-younger millionaire CEO Scott Borgerson,PERSON
78,it,Jones,PERSON
79,he,New Hampshire,GPE
80,one,President Donald Trump,PERSON
81,a CBS reporter,Warren,PERSON
82,it,Donald Trump,PERSON
83,you,Matt,PERSON
84,hits,Mark Mellman,PERSON
85,Five Democratic senators,Biden,PERSON
86,he,Biden,PERSON
87,who,Biden,PERSON
88,hits,Mark Mellman,PERSON
89,Dems,Trump,PERSON
90,Kamala Harris,Biden,PERSON
91,The move,just Biden,PERSON
92,The California Democrat,Biden,PERSON
93,who,neighboring Massachusetts,GPE
94,(July 4) AP,fellow presidential hopeful Joe Biden,PERSON
95,Hallinan,Fazio,PERSON
96,who,Harris,PERSON
97,My mother,Kamala,PERSON
98,Fazio,Hallinan,GPE
99,his top candidate,Massachusetts Sen. Elizabeth Warren,PERSON
100,Terree O'Neil Darling,CNN's Alisyn Camerota,PERSON
101,she,Biden,PERSON
102,she,Vermont Sen. Bernie Sanders,PERSON
103,a lot,Biden,PERSON
104,An Ohio Quinnipiac University poll,Biden,PERSON
105,who,President Trump,PERSON
106,She,the most prominent Midwesterner,PERSON
107,Jimmy Carter,Iowa,GPE
108,A gain,Joe Biden,PERSON
109,de Blasio,marijuana legalization,PERSON
110,he,marijuana legalization,PERSON
111,he,Maryland,GPE
112,Sestak,Pennsylvania,GPE
113,who,Donald Trump,PERSON
114,That,NPR's Asma Khalid,PERSON
115,the debate’s moderators,Harris,PERSON
116,she,Biden,PERSON
117,The rebuke,Biden,PERSON
118,The former vice president,Harris,PERSON
119,he,Sen. Kamala Harris,PERSON
120,he,former President Barack Obama,PERSON
121,he,White House senior adviser Kellyanne Conway,PERSON
122,"
Sue Dvorsky",Trump,PERSON
123,him,former vice president Joe Biden,PERSON
124,he,President Xi,PERSON
125,I,Iran,GPE
126,The presidential candidates,New York Mayor Bill de Blasio,PERSON
127,The presidential candidates,Sen. Kirsten Gillibrand,PERSON
128,Obama's deportation history,Biden,PERSON
129,You,President Obama,PERSON
130,"""Trump campaign and Republican Party officials",former Vice President Joe Biden,PERSON
131,Disability and LGBTQ rights activist Carson Tueller,Sen. Kamala Harris,PERSON
132,"
Moderator Erin Burnett",Harris,PERSON
133,"https://www.youtube.com/watch?v=zYfVpu4xBj8]
Democrats",Lewandowski,PERSON
134,House Democrats,Lewandowski,PERSON
135,he,Donald McGahn,PERSON
136,Trump,Attorney General Jeff Sessions,PERSON
137,Rep. Jerrold Nadler,Lewandowski,PERSON
138,Jackson Lee,Lewandowski,PERSON
139,The,Nadler,PERSON
140,the panel,Lewandowski,PERSON
141,Rep. Hakeem Jeffries,Lewandowski,PERSON
142,Lewandowski,Rep. Jamie Raskin,PERSON
143,that,Russian leader Vladimir Putin,PERSON
144,the whole thing,Putin,PERSON
145,The chaos,Trump,PERSON
146,The chaos,Trump,PERSON
147,Several news reports,Ratcliffe,PERSON
148,Republican,Mark Zuckerberg,PERSON
149,he,Gordon,PERSON
150,Trump intel pick,his résumé Rand Paul,PERSON
151,It,President Trump,PERSON
152,Barack Obama,Hillary Clinton,PERSON
153,it,Cory Booker,PERSON
154,he,Biden,PERSON
155,it,Andrew Yang,PERSON
156,The front-runners,former Vice President Joe Biden,PERSON
157,FORUM](https://www.facebook.com,Joy Gray,PERSON
158,"Fact Check"" On Medical Bankruptcy](https://bernie.substack.com/p/bernie-2020",Huffpost|[Bernie Sanders,PERSON
159,Reno Gazette Journal|[Former Nevada Senator Tick Segerblom,Bernie Sanders,PERSON
160,Jacobin|[Andrew Yang,Ross Perot,PERSON
161,Biden,California Senator Kamala Harris,PERSON
162,North Korea,Biden,PERSON
163,Biden,Kim,PERSON
164,The Trump administration,Japan,GPE
165,Colbert,Biden,PERSON
166,you,New Hampshire,GPE
167,Trump,Zelensky,PERSON
168,Giuliani,"


Giuliani",PERSON
169,That,Giuliani,PERSON
170,America       Miley Cyrus,Brody Jenner's ex Kaitlynn Carter,PERSON
171,they,the HMS Duncan,PERSON
172,This,HMS Duncan,PERSON
173, Booker,Biden,PERSON
174,Biden,Harris,PERSON
175,You,President Trump,PERSON
176,that,Biden,PERSON
177,I,President Trump,PERSON
178,Trump,no Hitler,PERSON
179,he,Biden,PERSON
180,which,the malady Yang,PERSON
181,they,President Donald Trump,PERSON
182,His languid performance,Harris,PERSON
183,I,Honduras,GPE
184,I,Honduras,GPE
185,He,not so much reference President Obama,PERSON
186,Several Democratic candidates,President TrumpDonald John TrumpScalise,PERSON
187,a four-star general,Biden,PERSON
188,Biden,Afghanistan,GPE
189,Biden,former British prime ministers Margaret Thatcher,PERSON
190,they,Washington,GPE
191,that,Mayor Pete,PERSON
192,Buttigieg,Iowa,GPE
193,California Sen. Kamala Harris,former Vice President Joe Biden,PERSON
194,Ms. Harris,Mr. Biden,PERSON
195,women,Warren,PERSON
196,which,Harris,PERSON
197,who,either Iowa,GPE
198,who,Iowa,GPE
199,which,Nevada,GPE
200,The first night's randomly chosen line-up,Pete Buttigieg,PERSON
201,who,President Trump,PERSON
202,She,the most prominent Midwesterner,PERSON
203,Jimmy Carter,Iowa,GPE
204,He,Jake,PERSON
205,he,President Donald Trump,PERSON
206,Biden,Trump,PERSON
207,Mr. Biden,Mr. Sanders,PERSON
208,The complaint,Mr. Atkinson,PERSON
209,he,Adam Schiff,PERSON
210,North Korea,Biden,PERSON
211,Biden,Kim,PERSON
212,The Trump administration,Japan,GPE
213,CreditGabriela Bhaskar,Naomi Osaka,PERSON
214,CreditJohn Marc Nutt/ReutersAfter,the Bahamas,GPE
215,hurricanes,the United States,GPE
216,The stakes,Japan,GPE
217,she,” Kim,PERSON
218,he,Swampman Joe Biden,PERSON
219,the president,” Kim,PERSON
220,he,North Korea,GPE
221,he,President Donald Trump,PERSON
222,that,Cherry Garcia,PERSON
223,You,President Trump,PERSON
224,Biden,Harris,PERSON
225,Booker,Biden,PERSON
226,this,America,GPE
227,Lemon,Colorado Sen. Michael Bennet,PERSON
228,he,CNN's Chris Cuomo,PERSON
229,he,both basketball star LeBron James,PERSON
230,"""Trump",the black Congresswoman Maxine Waters,PERSON
231,this,America,GPE
232,Booker,Biden,PERSON
233,You,President Obama,PERSON
234, Booker,Biden,PERSON
235,Gabbard,Harris,PERSON
236,Tulsi Gabbard,Harris,PERSON
237,that,the most progressive DREAM Act,PERSON
238,The first lady,Mrs. Abe,PERSON
239,"
President Donald Trump",Democratic House Speaker Nancy Pelosi,PERSON
240,God,America,GPE
241,three,Cory Booker,PERSON
242,She,former Vice President Joe Biden,PERSON
243,She,former Vice President Joe Biden,PERSON
244,Kim's recent missile tests,Japanese Prime Minister Shinzo Abe,PERSON
245,Trump,Fox News correspondent John Roberts,PERSON
246,who,Eric Garner,PERSON
247,I,Barack Obama,PERSON
248,Joe Biden,Barack Obama,PERSON
249,Gillibrand,Biden,PERSON
250,he,Swampman Joe Biden,PERSON
251,that,the United States,GPE
252,that,Japan,GPE
253,he,the U.S.,GPE
254,The Trump administration,Japan,GPE
255,Acting Intelligence Director Joseph Maguire,intelligence community Inspector General Michael Atkinson,PERSON
256,A whistleblower complaint,the Ukraine,GPE
257,Trump associates,Ukraine,GPE
258,She,President Donald Trump,PERSON
259,He,the United States,GPE
260,who,Eric Garner,PERSON
261,they,President Donald Trump,PERSON
262,he,Biden,PERSON
263,That,Julián Castro,PERSON
264,he,Obama,PERSON
265,That answer,Sen. Cory Booker,PERSON
266,You,President Obama,PERSON
267,he,the United States,GPE
268,we,Libya,GPE
269,Tuesday's debate lineup,Sen.&nbsp;Bernie Sanders&nbsp;of Vermont,PERSON
270,Rep. Tim Ryan,Sen. Bernie Sanders,PERSON
271,Candidates,Andrew Yang,PERSON
272,Candidates,Sen. Amy Klobuchar,PERSON
273,who,Eric Garner,PERSON
274,they,President Donald Trump,PERSON
275,he,Biden,PERSON
276,That,Julián Castro,PERSON
277,they,Senator Sanders,PERSON
278,he,Ukraine,GPE
279,he,Ukraine,GPE
280,Trump whistleblower complaint,Ukraine,GPE
281,he,Ukraine,GPE
282,Trump,Ukraine,GPE
283,he,Ukraine,GPE
284,North Carolina poll North Carolina businessman,Tillis,PERSON
285,he,Ukraine,GPE
286,they,North Carolina,GPE
287,he,Ukraine,GPE
288,he,Ukraine,GPE
289,Trump,Ukraine,GPE
290,he,Ukraine,GPE
291,he,Ukraine,GPE
292,Trump whistleblower complaint,Ukraine,GPE
293,Biden,Trump,PERSON
294,Green,Biden,PERSON
295,A lot,Joe Biden,PERSON
296,it,Iranian Foreign Minister Javad Zarif,PERSON
297,it,Iranian Foreign Minister Javad Zarif,PERSON
298,President Donald Trump,the US,GPE
299,he,Johnson,PERSON
300,which,Vintage Boris,PERSON
301,It,Brexit,PERSON
302,the list,Kamala Harris,PERSON
303,It,New York Times reporter Megan Twohey,PERSON
304,he,Johnson,PERSON
305,which,Vintage Boris,PERSON
306,It,Brexit,PERSON
307,the list,Kamala Harris,PERSON
308,It,New York Times reporter Megan Twohey,PERSON
309,Wasserman,Will Hurd,GPE
310,Wasserman,Will Hurd,GPE
311,The article,Bhaskar Sunkara,GPE
312,David Frost,Richard Nixon,PERSON
313,Cuomo,Giuliani,PERSON
314,Giuliani,Robert Costa,PERSON
315,Trump,Eugene Scalia,PERSON
316,The pilot,U.S. Air Force veteran Todd Hohn,PERSON
317,The rulers,President Obama,PERSON
318,A Honduran mother,the U.S.,GPE
319,Giuliani,the New York Times’s Kenneth P. Vogel,PERSON
320,that,US,GPE
321,Those,former Vice President Joe Biden,PERSON
322,Democrats,President Donald Trump,PERSON
323,South Bend,Cecilia Cabello,PERSON
324,California Gov. Gavin Newsom,Harris,PERSON
325,Trump,Zelensky,PERSON
326,who,the United States,GPE
327,the law,President Donald Trump,PERSON
328,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
329,Joe Biden,Trump,PERSON
330,Joe Biden,Joe Biden,PERSON
331,she,the US,GPE
332,Solis,Biden,PERSON
333,The CTU president,Jesse Sharkey,PERSON
334,He,former Vice President Joe Biden,PERSON
335,Abe,Mr. Trump,PERSON
336,Numerous Japanese officials,Death Wish,PERSON
337,that,Japan,GPE
338,he,the U.S.,GPE
339,The Trump administration,Japan,GPE
340,"
Mexico president",Tory leadership contender Rory Stewart,PERSON
341,he,Sen. Doug Jones,PERSON
342,she,Kendra Brooks,PERSON
343,The progressives,Biden,PERSON
344,He,Hillary Clinton,PERSON
345,Senator Sanders,Philadelphia,GPE
346,Trump,Asanoyama,GPE
347,Trump,Japan,GPE
348,the only candidate,former Vice President Joe Biden,PERSON
349,White House Press Secretary Sarah Huckabee Sanders,President Trump,PERSON
350,CNN,Sarah Sanders,PERSON
351,Trump,Rex Tillerson,PERSON
352,"Trump
North Korean state media",former U.S. Vice President Joe Biden,PERSON
353,"
Biden",President Trump,PERSON
354,he,host Anderson Cooper,PERSON
355,An audience member,Biden,PERSON
356,that,the US,GPE
357,this existential challenge,America,GPE
358,who,Yulin Cruz,PERSON
359,Donald Trump,Hillary Clinton,PERSON
360,Trump,Montoursville,GPE
361,He,neighboring Delaware,GPE
362,a high school student,Bill de Blasio,PERSON
363,President Trump,Washington,GPE
364,It,former Vice President Joseph Biden,PERSON
365,The Senate,Hunter Biden,PERSON
366,the Senate,Hunter Biden,PERSON
367,Chinese firms,Hunter Biden,PERSON
368,we,Joe Biden,PERSON
369,Joe Biden,Ukraine,GPE
370,Biden,China,GPE
371,They,President Donald Trump,PERSON
372,some Democratic activists,Joe Biden,PERSON
373,Biden,Senator Bernie Sanders,PERSON
374,you,the same conclusion?Gail Collins,PERSON
375,who,Yulin Cruz,PERSON
376,Trump,Asanoyama,GPE
377,Trump,Japan,GPE
378,He,Barack Obama,PERSON
379,He,Obama,PERSON
380,I,Grandpa Finnegan,PERSON
381,He,Burlington,GPE
382,he,Swampman Joe Biden,PERSON
383,that,the United States,GPE
384,who,President Donald Trump,PERSON
385,who,Bolton,PERSON
386,It,Pompeo,PERSON
387,that,al-Qaida leader Osama bin Laden,PERSON
388,his actions,Bolton,PERSON
389,Hillary Clinton,President Donald Trump,PERSON
390,Lurie,a B.A.,GPE
391,he,President Donald Trump,PERSON
392,Former Vice President Joe Biden,Philadelphia,GPE
393,that,Japan,GPE
394,he,the U.S.,GPE
395,Trump,Japan,GPE
396,whose state media,Biden,PERSON
397,he,Swampman Joe Biden,PERSON
398,de Blasio,Vermont Sen. Bernie Sanders,PERSON
399,The list,former Energy Secretary Ernest Moniz,PERSON
400,Firey,Anton,PERSON
401,The 60-second spot,Biden,PERSON
402,Trump,de Blasio,PERSON
403,she,Attorney General William Barr,PERSON
404,who,Harris,PERSON
405,Harris,the Jan Brady,PERSON
406,Reverend Wendell Anthony,Harris,PERSON
407,So far at least six candidates,DeVos,PERSON
408,Others,former Vice President Joe Biden,PERSON
409,which,Democrat Hillary Clinton,PERSON
410,Democrats,DeVos,PERSON
411,One ad,Republican Gov. Larry Hogan,PERSON
412,she,Trump,PERSON
413,Bernie Sanders,Joe Biden,PERSON
414,both,Joe BidenAmong,PERSON
415,that,Elizabeth Warren,PERSON
416,One exception,Joe Biden,PERSON
417,Other candidates,Obama,PERSON
418,Stern,host Meghan McCain,PERSON
419,he,Omar,PERSON
420,they,America,GPE
421,Trump,Ohio,GPE
422,the others,former Vice President Joe Biden,PERSON
423,the law,President Donald Trump,PERSON
424,The Alabama law,","" David Flaherty",PERSON
425,that,the United States,GPE
426,Numerous Japanese officials,Death Wish,PERSON
427,that,Japan,GPE
428,he,the US,GPE
429,The Trump administration,Japan,GPE
430,the dustup,Harris,PERSON
431,Blood donation,Vitalent Blood Services,PERSON
432,he,ABC News Chief Anchor George Stephanopoulos,PERSON
433,Buttigieg,Larry Grisolano,PERSON
434,the Trump administration,John Bolton,PERSON
435,Kim,former Vice President Joe Biden,PERSON
436,she,Harris,PERSON
437,CNN's Anderson Cooper,Harris,PERSON
438,who,Eric Garner,PERSON
439,they,President Donald Trump,PERSON
440,he,Biden,PERSON
441,That,Julián Castro,PERSON
442,Sen. Bernie Sanders,Sen. Tim Ryan,PERSON
443,Pantaleo,Josh Dawsey,PERSON
444,Cory Booker,Joe Biden,PERSON
445,polling,Biden,PERSON
446,shared whiteness,Cersei,PERSON
447,Biden,Obama,GPE
448,Senator Cory Booker,former Vice President Joe Biden,PERSON
449,Julian Castro,Biden,PERSON
450,one,Biden,PERSON
451,That,Cory Booker,PERSON
452,You,President Obama,PERSON
453,he,a third-term Obama,GPE
454,Senator Cory Booker,former Vice President Joe Biden,PERSON
455,Julian Castro,Biden,PERSON
456,one,Biden,PERSON
457,That,Cory Booker,PERSON
458,You,President Obama,PERSON
459,he,a third-term Obama,GPE
460,So far at least six candidates,DeVos,PERSON
461,Others,former Vice President Joe Biden,PERSON
462,which,Democrat Hillary Clinton,PERSON
463,Democrats,DeVos,PERSON
464,One ad,Republican Gov. Larry Hogan,PERSON
465,the candidates,New York City Mayor Bill de Blasio,PERSON
466,who,Harris,PERSON
467,The person,Donald Trump,PERSON
468,Booker,Biden,PERSON
469,Booker,Biden,PERSON
470,Castro,Biden,PERSON
471,Hayes’s tweet,Rep. Will Hurd,PERSON
472,Hurd,Democrat challenger Gina Ortiz Jones,PERSON
473,"#DemDebate pic.twitter.com/M4urfZtA7z
— Hardball",Hillary Clinton,PERSON
474,Republican Party,Breitbart Washington editor Matt Boyle,PERSON
475,Joe Biden,Philadelphia,GPE
476,Trump,New York City Mayor Bill de Blasio,PERSON
477,that,former Vice President Joe Biden,PERSON
478,he,Breitbart News,PERSON
479,we,both America,GPE
480,it,the United States,GPE
481,that,Clinton,PERSON
482,who,Pointe Coupee,PERSON
483,You,Chris,PERSON
484,Sanford,former Massachusetts Gov. Bill Weld,PERSON
485,name,Sherman,PERSON
486,he,Gen. William Sherman,PERSON
487,Dhis,Dawnald Sizemoah,PERSON
488,North Korean state media,former U.S. Vice President Joe Biden,PERSON
489,One,Adam Jentleson,PERSON
490,she,” Kim,PERSON
491,he,Swampman Joe Biden,PERSON
492,the president,” Kim,PERSON
493,he,North Korea,GPE
494,North Korea,Biden,PERSON
495,that,the United States,GPE
496,O’Rourke,Ted Cruz,PERSON
497,One,Pat O’Rourke,PERSON
498,it,pure Pat,PERSON
499,"
O’Rourke",Amy Sanders,PERSON
500,Biden,Clinton,PERSON
501,you,Barack Obama,PERSON
502,You,Ronald Reagan,PERSON
503,Biden,Obama,GPE
504,that,former President Barack Obama,PERSON
505,Japanese Prime Minister Shinzo Abe,U.S. President Donald Trump,PERSON
506,he,former U.S. Democratic President Obama,PERSON
507,One,Julian Castro,PERSON
508,Democratic presidential candidates,Obama,GPE
509,Biden,former British Prime Minister Theresa May,PERSON
510,One,Adam Jentleson,PERSON
511,Trump,Biden,PERSON
512,Reporters,Harris,PERSON
513,President Donald Trump,former Vice President Joe Biden,PERSON
514,Kim Jong Un Biden,Donald Trump - Donald Trump,PERSON
515,president,"2020 presidential bid
Accusing Donald Trump",PERSON
516,that,Ian Bremmer,PERSON
517,he,Joe Biden,PERSON
518,"Trump
North Korean state media",former U.S. Vice President Joe Biden,PERSON
519,President Donald Trump,former Vice President Joe Biden,PERSON
520,"North..
Recent related news",President Donald Trump,PERSON
521,"
Biden",President Trump,PERSON
522,Trump,Japan,GPE
523,that,President Trump,PERSON
524,she,Biden,PERSON
525,she,Bernie Sanders,PERSON
526,Buttigieg,"2020 campaign
Pete Buttigieg",PERSON
527,The South Bend mayor,Mike Pence,PERSON
528,that,the United States,GPE
529,President Donald Trump,North Korean dictator Kim Jong Un,PERSON
530,he,Swampman Joe Biden,PERSON
531,host Chuck Todd,White House Press Secretary Sarah Sanders,PERSON
532,it,Joe Biden,PERSON
533,Those dissenting advisers,hawkish National Security Adviser John Bolton,PERSON
534,Numerous Japanese officials,Death Wish,PERSON
535,that,Japan,GPE
536,he,the US,GPE
537,The Trump administration,Japan,GPE
538,conservatives,Lipinski,PERSON
539,That,Bernie,PERSON
540,they,Biden,PERSON
541,That,Biden,PERSON
542,that,President Donald Trump,PERSON
543,Kim,former U.S. Vice President Joe Biden,PERSON
544,it,Kim,PERSON
545,who,retired Army General H.R. McMaster,PERSON
546,A military band,the U.S.,GPE
547,Trump,the United States,GPE
548,Trump,Japan,GPE
549,Klobuchar,Inslee,PERSON
550,he, Sens. Elizabeth Warren,PERSON
551,This,the United States of America,GPE
552,the 2017 shooting,Tucker Carlson,PERSON
553,white supremacy,America,GPE
554,them,Fruman,PERSON
555,it,Joe Biden,PERSON
556,The Times,elderly Howard Gottlieb,PERSON
557,A Quinnipiac University poll,de Blasio,PERSON
558,he,daughter Ashley,PERSON
559,it,Hunter,PERSON
560,We,"STEVE BULLOCK
",PERSON
561,which,Anthony Weiner,PERSON
562,ex,son Teddy,PERSON
563,his father's ancestors,Civil War Union general Andrew Hickenlooper,PERSON
564,his father's ancestors,Religion,PERSON
565,North Korea’s Kim Jong Un,Biden,PERSON
566,Trump,Kim,PERSON
567,that,the U.S.,GPE
568,Abe,Iran,GPE
569,Mr. Sanders,Mr. Biden,PERSON
570,Mr. Biden,Ms. Warren,PERSON
571,he,Mr. Sanders,PERSON
572,who,Biden,PERSON
573,North Korea's Kim Jong Un,Biden,PERSON
574,Trump,Kim,PERSON
575,that,the U.S.,GPE
576,Abe,Iran,GPE
577,President Donald Trump,former Vice President Joe Biden,PERSON
578,He,Abe,PERSON
579,He,CNN’s Ana Cabrera,PERSON
580,he,Swampman Joe Biden,PERSON
581,Biden,Kim,PERSON
582,it,Joe Biden,PERSON
583,I,President Putin,PERSON
584,it,Russia,GPE
585,A lot,Joe Biden,PERSON
586,Sanders,Biden,PERSON
587,it,Obama,GPE
588,the law,President Trump,PERSON
589,they,Taoiseach @LeoVaradkar,PERSON
590,Pence,Varadkar,PERSON
591,his,that Jimmy Carter,PERSON
592,New York Magazine,Donald Trump,PERSON
593,What,Eric,PERSON
594,who,Donald Trump,PERSON
595,a recent Morning Consult poll,Biden,PERSON
596,The incumbent,Republican Martha McSally,PERSON
597,The Democratic challenger,Mark Kelly,PERSON
598,I,Abbott,GPE
599,I,Kathleen Eames,PERSON
600,he,President Donald Trump,PERSON
601,he,President Donald Trump,PERSON
602,Trump,Arrington,PERSON
603,Trump,"A Famous Sumo Wrestler A Trump Sized Trophy
President Trump",PERSON
604,President Donald Trump,former Vice President Joe Biden,PERSON
605,he,Margaret Brennan,PERSON
606,The U.S.-Taliban deal,Kabul,GPE
607,Democratic Presidential Hopeful Klobuchar Proposes,Ethanol Rules,PERSON
608,he,Joe Biden,PERSON
609,Trump,Kim,PERSON
610,that,Japan,GPE
611,that,the U.S.,GPE
612,Abe,Iran,GPE
613,Zandi,Politico,GPE
614,The only candidate,New York City Mayor Bill de Blasio,PERSON
615,The only candidate,New York City Mayor Bill de Blasio,PERSON
616,Trump,Netanyahu,PERSON
617,US President Donald Trump,Japanese Prime Minister Shinzo Abe,PERSON
618,US President Donald Trump,"
Zee News",PERSON
619,U.S. President Donald Trump,Japanese Prime Minister Shinzo Abe,PERSON
620,Donald Trump,Japan,GPE
621,Trump,Japan,GPE
622,U.S. President Donald Trump,"
Reuters India",GPE
623,Democrats,Bernie,PERSON
624,Former President Barack Obama,Biden,PERSON
625,the candidates,"
Sen. Michael Bennet",PERSON
626,the candidates,Rep. Eric Swalwell,PERSON
627,the candidates,Sen. Elizabeth Warren,PERSON
628,Sanders,Martin Luther King Jr,PERSON
629,He,Kamala Harris,PERSON
630,he,Swampman Joe Biden,PERSON
631,the North Korean spokesman,the U.S.,GPE
632,which,Memphis,GPE
633,which,pure Trump,PERSON
634,Trump,"""crazy"" Vermont Sen. Bernie Sanders",PERSON
635,which,pure Trump,PERSON
636,Trump,"""crazy"" Vermont Sen. Bernie Sanders",PERSON
637,I,Sen. Schumer,PERSON
638,you,Strzok,PERSON
639,he,Swampman Joe Biden,PERSON
640,Britain,Iran,GPE
641,Britain,Iran,GPE
642,it,Hollywood,GPE
643,that,President Donald Trump,PERSON
644,Recent related news,US National Security Advisor John Bolton,PERSON
645,Massachusetts Sen. Elizabeth Warren,New Jersey Sen. Cory Booker,PERSON
646,three,Montana Gov. Steve Bullock,PERSON
647,the former vice president’s campaign,Biden,PERSON
648,Trump Publicly Agrees With,"Buddhist monk
French Minister Urges Speedy Brexit",PERSON
649,that,Washington National’s pitcher Max Scherzer,PERSON
650,Our dear President,Bush,PERSON
651,She,her B.A.,GPE
652,Elizabeth Warren,Former Housing and Urban Development Secretary Julián Castro,PERSON
653,he,Joe Biden,PERSON
654,Trump,Kim,PERSON
655,that,Japan,GPE
656,that,the U.S.,GPE
657,Abe,Iran,GPE
658,North Korea,Joe Biden ',PERSON
659,he,Joe Biden,PERSON
660,Trump,Kim,PERSON
661,that,Japan,GPE
662,that,the U.S.,GPE
663,Abe,Iran,GPE
664,Barack Obama,Ms. Clinton,PERSON
665,Ms. Clinton,Mr. Sanders,PERSON
666,she,Mr. Biden,PERSON
667,which,Des Moines,GPE
668,which,Jeffrey Sachs,PERSON
669,Those,California senator Kamala Harris,PERSON
670,Those,New York senator Kirsten Gillibrand,PERSON
671,he,Hillary Clinton,PERSON
672,he,John Kerry,PERSON
673,It,Clinton,PERSON
674,Trump,Biden,PERSON
675,he,Hillary Clinton,PERSON
676,viewers,felo de se,PERSON
677,viewers,felo de se,PERSON
678,he,Jonathan Capehart,PERSON
679,who,Mr. Biden,PERSON
680,he,when [Kim,PERSON
681,advisers,Mr. Biden,PERSON
682,She,CNN’s Anderson Cooper,PERSON
683,You,Patton,PERSON
684,he,James Comey,PERSON
685,"WORTH WATCHING
West Point Military Academy",Joins Damien Chazelle’s,PERSON
686,"WORTH WATCHING
West Point Military Academy",Ian Rapoport,PERSON
687,Emperor Naruhito,President Donald Trump,PERSON
688,Mrs. Trump,Empress Masako,PERSON
689,Iranian Foreign Minister Mohammad Javad Zarif,Tokyo,GPE
690,Drugmaker JandJ,Joins Damien Chazelle’s,PERSON
691,Trump,Biden,PERSON
692,he,Joe Biden,PERSON
693,Trump,Kim,PERSON
694,that,Japan,GPE
695,that,the U.S.,GPE
696,Abe,Iran,GPE
697,Wasmiller,Education Secretary Betsy DeVos,PERSON
698,He,Mueller,PERSON
699,He,Barr,PERSON
700,I,Kathleen Eames,PERSON
701,Republicans,Carter,PERSON
702,it,its own Meme Generator Link,PERSON
703,that,Bernie,PERSON
704,2020 Democratic presidential hopeful former Vice President Joe Biden,President Donald Trump,PERSON
705,he,Swampman Joe Biden,PERSON
